City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3hrs),Snow inches (last 3hrs)
124,Coquimbo,CL,2020-05-10 17:30:52,-29.95,-71.34,55.4,87,75,8.05,broken clouds,0,0
125,Cayenne,GF,2020-05-10 17:30:53,4.93,-52.33,84.2,74,72,12.75,moderate rain,0,0
126,Barrow,US,2020-05-10 17:30:53,71.29,-156.79,21.2,92,20,9.17,mist,0,0
127,Khatanga,RU,2020-05-10 17:30:54,71.97,102.5,24.33,97,97,8.25,overcast clouds,0,0
128,Qui Nhon,VN,2020-05-10 17:30:54,13.77,109.23,78.3,89,5,5.37,clear sky,0,0
129,Lebu,CL,2020-05-10 17:30:54,-37.62,-73.65,57.22,79,66,8.68,light rain,0,0
130,Sun Valley,US,2020-05-10 17:26:48,39.6,-119.78,71.6,18,1,10.29,clear sky,0,0
131,Itamaraju,BR,2020-05-10 17:30:55,-17.04,-39.53,75.34,64,83,7.02,broken clouds,0,0
132,Faya,SA,2020-05-10 17:30:55,18.39,42.45,71.6,68,10,5.82,clear sky,0,0
133,Hofn,IS,2020-05-10 17:30:55,64.25,-15.21,42.8,41,85,5.82,overcast clouds,0,0
134,Saskylakh,RU,2020-05-10 17:30:55,71.92,114.08,13.84,95,96,7.7,overcast clouds,0,0
135,Constitucion,CL,2020-05-10 17:30:55,-35.33,-72.42,61.54,64,25,5.48,scattered clouds,0,0
136,Riberalta,BO,2020-05-10 17:30:56,-10.98,-66.1,92.55,42,0,2.91,clear sky,0,0
137,Sorland,NO,2020-05-10 17:30:56,67.67,12.69,37.4,64,40,6.93,shower rain,0,0
138,Mount Isa,AU,2020-05-10 17:27:21,-20.73,139.5,62.6,23,6,12.75,clear sky,0,0
139,Senekal,ZA,2020-05-10 17:30:56,-28.32,27.62,58.03,35,0,6.42,clear sky,0,0
140,Port-Gentil,GA,2020-05-10 17:30:57,-0.72,8.78,75.2,94,75,10.29,broken clouds,0,0
141,Kayes,ML,2020-05-10 17:30:57,14.0,-11.0,104.9,17,52,8.34,broken clouds,0,0
